param S := 3;
param N := 3;
param D := 14;

param demand: 
        1   2   3  :=
    1   1   1   1
    2   1   1   1
    3   1   1   1
    4   1   1   1
    5   1   1   1
    6   1   1   1
    7   1   1   1
    8   1   1   1
    9   1   1   1
   10   1   1   1
   11   1   1   1
   12   1   1   1
   13   1   1   1
   14   1   1   1  ;
    
    
param workhours_limit :=
    1   140
    2   140
    3   140 ;
    
set vacation := ;
set preferred_companions := ;
set unpreferred_companions := ;

set preferred_slots :=
     1 1 1
     2 1 2
     3 1 3
     1 2 1
     2 2 2
     3 2 3
     1 3 1
     2 3 2
     3 3 3
     1 4 1
     2 4 2
     3 4 3
     1 5 1
     2 5 2
     3 5 3
     1 6 1
     2 6 2
     3 6 3
     1 7 1
     2 7 2
     3 7 3
     1 8 1
     2 8 2
     3 8 3
     1 9 1
     2 9 2
     3 9 3
     1 10 1
     2 10 2
     3 10 3
     1 11 1
     2 11 2
     3 11 3
     1 12 1
     2 12 2
     3 12 3
     1 13 1
     2 13 2
     3 13 3
     1 14 1
     2 14 2
     3 14 3;
     
set unpreferred_slots := ;
